#Decl	R.A	Med Angular Error  
-1.8	35.2	16.3
-28.0	282.6	25.4
-31.2	127.9	1.4
-51.2	169.5	7.1
-0.4	110.6	1.2
-27.2	133.9	9.8
-45.1	15.6	24.1
-21.2	182.4	1.3
33.6	151.3	16.5
-29.4	5.08	8.1
-8.9	155.3	16.7
-52.8	296.1	9.8
40.3	67.9	1.2
-27.9	265.6	13.2
-49.7	287.3	19.7
-22.6	192.1	19.4
14.5	247.4	11.6
-24.8	345.6	1.3
-59.7	76.9	9.7.3
-67.2	38.3	10.7
-24.0	9.0	20.9
-22.1	293.7	12.1
-13.2	208.7	1.9
-15.1	282.2	15.5
-14.5	286.0	46.3
22.7	143.4	11.8
-12.6	121.7	6.6
-71.5	164.8	1.3
41.0	298.1	7.4
-82.7	103.2	8.0
78.3	146.1	26.0
78.3	146.1	26.0
7.8 	292.5	13.5
31.3	323.4	42.7
-55.8	208.4	15.9
-3.0	257.7	11.7
20.7	167.3	1.2
